Name,IrsSubsection,Location,Ein,Mission
Abbvie Patient Assistance Foundation,501(c)(3) Private Non-Operating Foundation,"North Chicago, IL",26-1215559,this organization has not provided guidestar with a mission statement.
Northwestern Memorial Healthcare,501(c)(3) Public Charity,"Chicago, IL",36-3152959,"we are an organization of caregivers who aspire to consistently high standards of quality, cost-effectiveness and patient satisfaction. we seek to improve the health of the communities we serve by delivering a broad range of services with sensitivity to the individual needs of our patients and their families. we are bonded in an essential academic and service relationship with feinberg school of medicine of northwestern university. the quality of our services is enhanced through their integration with education and research in an environment that encourages excellence of practice, critical inquiry and learning."
Ann & Robert H Lurie Childrens Hospital of Chicago,501(c)(3) Public Charity,"Chicago, IL",36-2170833,"we are dedicated to the health and well-being of all children. as the pediatric teaching facility for northwestern university's feinberg school of medicine, this commitment drives us to be a leader in: - pediatric health care delivery - research into the prevention, causes and treatment of diseases that affect children - education for physicians, nurses, allied health professionals, and public health practioners - advocacy for children as a charitable organization, we serve children and their families to the best of our abilities and to the limits of our resources."
Unite Here Health,501(c)(9) Employees Associations,"Aurora, IL",23-7385560,"to provide health benefits that offer high quality, affordable health care to our participants at better value with better service than is otherwise available in the market. we believe our success depends on innovation and on engaging our participants."
Memorial Health System,501(c)(3) Public Charity,"Springfield, IL",90-0756744,to improve the health of the people and communities we serve.
The Carle Foundation Hospital,501(c)(3) Public Charity,"Urbana, IL",37-1119538,"the carle foundation hospital's mission is to serve people through high quality care, medical research, and education. health care services are provided to individuals in the community regardless of ability to pay."
Loyola University of Chicago,501(c)(3) Public Charity,"Chicago, IL",36-1408475,"we are chicago's jesuit, catholic university - a diverse community seeking god in all things and working to expand knowledge in the service of humanity through learning, justice, and faith."
Depaul University,501(c)(3) Public Charity,"Chicago, IL",36-2167048,"this mission statement embodies the principal purposes of depaul university. as such it is the nexus between past, present and future; (mission continued in schedule o)."
Delta Dental of Illinois,501(c)(4) Civic Leagues and Social Welfare Organizations,"Naperville, IL",36-2612058,improve the oral health of illinois residents by providing dental benefits & other services.
Big Ten Conference Inc,501(c)(3) Public Charity,"Des Plaines, IL",36-3640583,"the big ten conference is an association of world-class universities whose member institutions share a common mission of research, graduate, professional and undergraduate teaching and public service. founded in 1896, the big ten has sustained a comprehensive set of shared practices and policies that enforce the priority of academics in student-athletes' lives and emphasize the values of integrity, fairness and competitiveness."
Advocate North Side Health Network,501(c)(3) Public Charity,"Downers Grove, IL",36-3196629,"the mission of advocate aurora health is to serve the health needs of individuals, families and communities through a wholistic philosophy rooted in our fundamental understanding of human beings as created in the image of god."
Edward Hospital,501(c)(3) Public Charity,"Naperville, IL",36-3297173,the mission of edward hospital is to advance the health of our communities.
Swedishamerican Hospital,501(c)(3) Public Charity,"Rockford, IL",36-2222696,"through excellence in healthcare and compassionate service, we care for our community"
Line Construction Benefit Fund,501(c)(9) Employees Associations,"Lombard, IL",36-6066988,provide health and welfare benefits for eligible members.
Southern Illinois Hospital Services,501(c)(3) Public Charity,"Carbondale, IL",37-0618939,"southern illinois hospital services (sihs) is dedicated to promoting the health and well being of all of the people in the communities we serve. our mission is guided by our values: compassion, collaboration, quality, stewardship, integrity, accountability and respect. (continued in schedule o)"
Blue Cross Blue Shield Association,501(c)(4) Civic Leagues and Social Welfare Organizations,"Chicago, IL",13-5656874,see schedule o
Accenture United States Benefit,501(c)(9) Employees Associations,"Chicago, IL",36-7274697,"the accenture united states benefit trust is a master trust that covers the following insurance plans: accenture united states group health plan, accenture united states group retiree medical plan and accenture united states group insurance plan."
Northshore University Healthsystem Faculty Practice Associates,501(c)(3) Public Charity,"Evanston, IL",36-3738206,"northshore university healthsystem faculty practice associates follows the mission of northshore university healthsystem (northshore).  the core mission of northshore university healthsystem is to “preserve and improve human life.”  this mission will be achieved through the provision of superior clinical care, academic excellence, and innovative research."
The Chicago Community Trust,501(c)(3) Public Charity,"Chicago, IL",36-2167000,"building on 100 years of commitment to the chicago region, the chicago community trust mobilizes people, ideas, organizations and resources to advance equity and opportunity. we aspire to be an adaptive catalyst for enduring change, acting with persistence, creativity and vigor. our lifeblood for the change we seek is our generous philanthropic partners, and core to our work are the hundreds of community partners, across all sectors and neighborhoods, who come together to change lives."
